,Circuit breaker Open/Close Status,Disconnector Open/Close Status,Earth switch Open/Close Status,Protection system healthy (Trip circuit healthy),Control level - Local or remote,Protection tripped,Circuit breaker mechanical failure,Auxiliary power failure,Intertrip command send,Intertrip command receive,Current Line 'L1',Current Line 'L2',Current Line 'L3',Voltage Phase 'L1-N',Voltage Phase 'L2-N',Voltage Phase 'L3-N',Active Power,Reactive power,Frequency,Power Factor
76,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37124,37124,37124,15208940,9458588,50.0,0.85
77,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37123,37123,37123,15200994,9470537,50.0,0.85
78,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37123,37123,37123,15192597,9482568,50.0,0.85
79,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37122,37122,37122,15183756,9494670,50.0,0.85
80,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37122,37122,37122,15174476,9506837,50.0,0.85
81,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37121,37121,37121,15164764,9519059,50.0,0.85
82,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37120,37120,37120,15154627,9531329,50.0,0.85
83,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37120,37120,37120,15144072,9543637,50.0,0.85
84,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37119,37119,37119,15133105,9555976,50.0,0.85
85,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37118,37118,37118,15121735,9568338,50.0,0.85
86,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37118,37118,37118,15109969,9580712,50.0,0.84
87,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37117,37117,37117,15097815,9593092,50.0,0.84
88,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37117,37117,37117,15085282,9605469,50.0,0.84
89,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37116,37116,37116,15072378,9617834,50.0,0.84
90,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37116,37116,37116,15059112,9630179,50.0,0.84
91,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37115,37115,37115,15045493,9642494,50.0,0.84
92,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37115,37115,37115,15031530,9654773,50.0,0.84
93,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37114,37114,37114,15017234,9667007,50.0,0.84
94,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37114,37114,37114,15002613,9679186,50.0,0.84
95,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37113,37113,37113,14987678,9691303,50.0,0.84
96,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37113,37113,37113,14972439,9703350,50.0,0.84
97,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37112,37112,37112,14956907,9715317,50.0,0.84
98,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37112,37112,37112,14941092,9727198,50.0,0.84
99,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37111,37111,37111,14925005,9738984,50.0,0.84
100,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37111,37111,37111,14908657,9750666,50.0,0.84
